Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""loginElement/btnMasuk""))",Chrome 107.0.0.0,,,2022-11-03 22:42:35,2022-11-03 22:42:35,0.493s,PASSED
"waitForElementClickable(findTestObject(""masterCabang/btnCollapseMasterData""), 0)",Chrome 107.0.0.0,,,2022-11-03 22:42:35,2022-11-03 22:42:37,2.148s,PASSED
"click(findTestObject(""manajemenRole/btnManajemenRole""))",Chrome 107.0.0.0,,,2022-11-03 22:42:37,2022-11-03 22:42:38,0.560s,PASSED
"click(findTestObject(""manajemenRole/btnTambahRole""))",Chrome 107.0.0.0,,,2022-11-03 22:42:38,2022-11-03 22:42:39,0.708s,PASSED
"setText(findTestObject(""manajemenRole/fieldIdRole""), ""bagCreateNIE"")",Chrome 107.0.0.0,,,2022-11-03 22:42:39,2022-11-03 22:42:40,1.366s,PASSED
"setText(findTestObject(""manajemenRole/fieldNamaRole""), ""bagusCreateNIE"")",Chrome 107.0.0.0,,,2022-11-03 22:42:40,2022-11-03 22:42:41,0.792s,PASSED
"click(findTestObject(""manajemenRole/checkNieBatch""))",Chrome 107.0.0.0,,,2022-11-03 22:42:41,2022-11-03 22:42:41,0.384s,PASSED
"click(findTestObject(""manajemenRole/btnSimpanRole""))",Chrome 107.0.0.0,,,2022-11-03 22:42:41,2022-11-03 22:42:42,0.515s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-03 22:42:42,2022-11-03 22:42:45,3.005s,PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-03 22:42:45,2022-11-03 22:42:46,0.849s,PASSED
,,,,,,,
Test Cases/crudRole/successCreateAudit,Chrome 107.0.0.0,,,2022-11-03 22:42:46,2022-11-03 22:43:00,14.602s,PASSED
"openBrowser(""http://staging.radyalabs.id:7008/"")",Chrome 107.0.0.0,,,2022-11-03 22:42:46,2022-11-03 22:42:49,2.843s,PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-03 22:42:49,2022-11-03 22:42:49,0.151s,PASSED
"setText(findTestObject(""loginElement/fieldUsername""), ""sa"")",Chrome 107.0.0.0,,,2022-11-03 22:42:49,2022-11-03 22:42:50,0.766s,PASSED
"setText(findTestObject(""loginElement/fieldPassword""), ""qwerty@123"")",Chrome 107.0.0.0,,,2022-11-03 22:42:50,2022-11-03 22:42:50,0.697s,PASSED
"click(findTestObject(""loginElement/btnMasuk""))",Chrome 107.0.0.0,,,2022-11-03 22:42:50,2022-11-03 22:42:51,0.362s,PASSED
"waitForElementClickable(findTestObject(""masterCabang/btnCollapseMasterData""), 0)",Chrome 107.0.0.0,,,2022-11-03 22:42:51,2022-11-03 22:42:53,1.795s,PASSED
"click(findTestObject(""manajemenRole/btnManajemenRole""))",Chrome 107.0.0.0,,,2022-11-03 22:42:53,2022-11-03 22:42:53,0.499s,PASSED
"click(findTestObject(""manajemenRole/btnTambahRole""))",Chrome 107.0.0.0,,,2022-11-03 22:42:53,2022-11-03 22:42:54,0.601s,PASSED
"setText(findTestObject(""manajemenRole/fieldIdRole""), ""bagAud"")",Chrome 107.0.0.0,,,2022-11-03 22:42:54,2022-11-03 22:42:55,1.052s,PASSED
"setText(findTestObject(""manajemenRole/fieldNamaRole""), ""bagAud"")",Chrome 107.0.0.0,,,2022-11-03 22:42:55,2022-11-03 22:42:56,0.846s,PASSED
"click(findTestObject(""manajemenRole/checkAudit""))",Chrome 107.0.0.0,,,2022-11-03 22:42:56,2022-11-03 22:42:56,0.370s,PASSED
"click(findTestObject(""manajemenRole/btnSimpanRole""))",Chrome 107.0.0.0,,,2022-11-03 22:42:56,2022-11-03 22:42:56,0.491s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-03 22:42:56,2022-11-03 22:42:59,3.003s,PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-03 22:42:59,2022-11-03 22:43:00,0.868s,PASSED
,,,,,,,
Test Cases/crudRole/successCreateBatchCorrection,Chrome 107.0.0.0,,,2022-11-03 22:43:00,2022-11-03 22:43:16,15.234s,PASSED
"openBrowser(""http://staging.radyalabs.id:7008/"")",Chrome 107.0.0.0,,,2022-11-03 22:43:01,2022-11-03 22:43:03,2.850s,PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-03 22:43:03,2022-11-03 22:43:04,0.256s,PASSED
"setText(findTestObject(""loginElement/fieldUsername""), ""sa"")",Chrome 107.0.0.0,,,2022-11-03 22:43:04,2022-11-03 22:43:04,0.829s,PASSED
"setText(findTestObject(""loginElement/fieldPassword""), ""qwerty@123"")",Chrome 107.0.0.0,,,2022-11-03 22:43:04,2022-11-03 22:43:05,0.676s,PASSED
"click(findTestObject(""loginElement/btnMasuk""))",Chrome 107.0.0.0,,,2022-11-03 22:43:05,2022-11-03 22:43:05,0.377s,PASSED
"waitForElementClickable(findTestObject(""masterCabang/btnCollapseMasterData""), 0)",Chrome 107.0.0.0,,,2022-11-03 22:43:05,2022-11-03 22:43:07,1.808s,PASSED
"click(findTestObject(""manajemenRole/btnManajemenRole""))",Chrome 107.0.0.0,,,2022-11-03 22:43:07,2022-11-03 22:43:08,0.522s,PASSED
"click(findTestObject(""manajemenRole/btnTambahRole""))",Chrome 107.0.0.0,,,2022-11-03 22:43:08,2022-11-03 22:43:08,0.673s,PASSED
"setText(findTestObject(""manajemenRole/fieldIdRole""), ""bagBatCo"")",Chrome 107.0.0.0,,,2022-11-03 22:43:08,2022-11-03 22:43:10,1.210s,PASSED
"setText(findTestObject(""manajemenRole/fieldNamaRole""), ""bagBatCo"")",Chrome 107.0.0.0,,,2022-11-03 22:43:10,2022-11-03 22:43:11,0.874s,PASSED
"click(findTestObject(""manajemenRole/checkBatchCorrection""))",Chrome 107.0.0.0,,,2022-11-03 22:43:11,2022-11-03 22:43:11,0.481s,PASSED
"click(findTestObject(""manajemenRole/btnSimpanRole""))",Chrome 107.0.0.0,,,2022-11-03 22:43:11,2022-11-03 22:43:12,0.536s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-03 22:43:12,2022-11-03 22:43:15,3.005s,PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-03 22:43:15,2022-11-03 22:43:15,0.895s,PASSED
,,,,,,,
Test Cases/crudRole/successCreateEmptyRole,Chrome 107.0.0.0,,,2022-11-03 22:43:16,2022-11-03 22:43:30,14.734s,PASSED
"openBrowser(""http://staging.radyalabs.id:7008/"")",Chrome 107.0.0.0,,,2022-11-03 22:43:16,2022-11-03 22:43:19,2.767s,PASSED
